checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price_after_promo,currency
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2022,20:20,21:45,PrimeFly,5605.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2022,20:20,21:45,Business,10361.43,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2026,21:40,23:05,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2026,21:40,23:05,ExtraFly,5305.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2026,21:40,23:05,PrimeFly,5605.73,TRY
2026-05-18,2026-08-08,OW,1,IST,ASR,TK2026,21:40,23:05,Business,10361.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2440,02:00,03:20,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2440,02:00,03:20,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2440,02:00,03:20,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2440,02:00,03:20,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2408,06:20,07:45,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2408,06:20,07:45,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2408,06:20,07:45,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2408,06:20,07:45,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2410,08:25,09:50,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2410,08:25,09:50,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2410,08:25,09:50,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2410,08:25,09:50,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2412,09:40,11:05,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2412,09:40,11:05,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2412,09:40,11:05,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2412,09:40,11:05,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2414,10:40,12:05,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2414,10:40,12:05,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2414,10:40,12:05,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2414,10:40,12:05,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2416,11:35,13:00,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2416,11:35,13:00,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2416,11:35,13:00,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2416,11:35,13:00,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2418,12:40,14:05,EcoFly,4505.73,TRY
