marketing_airline,marketing_airline_name,market,total_orders,void_orders,free_cancel_24h_orders,void_or_24h_orders
AS,ALASKA AIRLINES,AT,23,22,0,22
AS,ALASKA AIRLINES,AU,774,706,7,713
AS,ALASKA AIRLINES,AZ,1,1,0,1
AS,ALASKA AIRLINES,BE,48,45,0,45
AS,ALASKA AIRLINES,BR,111,98,6,104
AS,ALASKA AIRLINES,BY,2,2,0,2
AS,ALASKA AIRLINES,CA,776,658,25,683
AS,ALASKA AIRLINES,CH,100,88,11,99
AS,ALASKA AIRLINES,CN,27,22,0,22
AS,ALASKA AIRLINES,CO,23,21,0,21
AS,ALASKA AIRLINES,CZ,19,19,0,19
AS,ALASKA AIRLINES,DE,783,692,19,711
AS,ALASKA AIRLINES,DK,9,4,0,4
AS,ALASKA AIRLINES,ES,451,399,9,408
AS,ALASKA AIRLINES,FI,3,3,0,3
AS,ALASKA AIRLINES,FR,467,411,11,422
AS,ALASKA AIRLINES,GB,3273,2992,55,3047
AS,ALASKA AIRLINES,GR,15,15,0,15
AS,ALASKA AIRLINES,HK,1520,1073,13,1086
AS,ALASKA AIRLINES,ID,179,138,2,140
AS,ALASKA AIRLINES,IE,75,71,0,71
AS,ALASKA AIRLINES,IL,106,102,1,103
AS,ALASKA AIRLINES,IN,216,192,8,200
AS,ALASKA AIRLINES,IT,633,557,19,576
AS,ALASKA AIRLINES,JP,5410,4741,102,4843
AS,ALASKA AIRLINES,KR,3047,2479,189,2668
AS,ALASKA AIRLINES,KZ,10,9,0,9
AS,ALASKA AIRLINES,MX,218,200,3,203
AS,ALASKA AIRLINES,MY,160,127,2,129
AS,ALASKA AIRLINES,NL,144,129,1,130
AS,ALASKA AIRLINES,NZ,45,38,2,40
AS,ALASKA AIRLINES,PE,4,3,0,3
AS,ALASKA AIRLINES,PH,262,204,2,206
AS,ALASKA AIRLINES,PK,9,9,0,9
AS,ALASKA AIRLINES,PL,88,82,0,82
AS,ALASKA AIRLINES,PT,7,5,1,6
AS,ALASKA AIRLINES,QA,10,10,0,10
AS,ALASKA AIRLINES,RU,231,171,7,178
AS,ALASKA AIRLINES,SA,35,31,1,32
AS,ALASKA AIRLINES,SE,12,11,0,11
AS,ALASKA AIRLINES,SG,478,326,3,329
AS,ALASKA AIRLINES,TH,469,347,2,349
AS,ALASKA AIRLINES,TR,76,70,1,71
AS,ALASKA AIRLINES,TW,1139,844,6,850
AS,ALASKA AIRLINES,UA,12,9,0,9
AS,ALASKA AIRLINES,US,6130,4551,69,4620
AS,ALASKA AIRLINES,VE,1,1,0,1
AS,ALASKA AIRLINES,VN,135,120,2,122
AZ,ITA AIRWAYS,,44,0,0,0
AZ,ITA AIRWAYS,AE,168,158,0,158
AZ,ITA AIRWAYS,AR,91,88,0,88
AZ,ITA AIRWAYS,AT,20,13,0,13
AZ,ITA AIRWAYS,AU,569,534,0,534
AZ,ITA AIRWAYS,AZ,3,3,0,3
AZ,ITA AIRWAYS,BE,120,93,0,93
AZ,ITA AIRWAYS,BH,2,2,0,2
AZ,ITA AIRWAYS,BR,822,743,0,743
AZ,ITA AIRWAYS,BY,1,1,0,1
AZ,ITA AIRWAYS,CA,338,291,3,294
AZ,ITA AIRWAYS,CH,122,104,1,105
AZ,ITA AIRWAYS,CN,46,36,0,36
AZ,ITA AIRWAYS,CO,105,97,0,97
AZ,ITA AIRWAYS,CZ,1,1,0,1
AZ,ITA AIRWAYS,DE,2284,1981,0,1981
AZ,ITA AIRWAYS,DK,5,5,0,5
AZ,ITA AIRWAYS,ES,1763,1503,0,1503
AZ,ITA AIRWAYS,FR,2579,2096,2,2098
AZ,ITA AIRWAYS,GB,5806,5039,10,5049
AZ,ITA AIRWAYS,GR,189,151,0,151
AZ,ITA AIRWAYS,HK,1117,835,1,836
AZ,ITA AIRWAYS,ID,124,108,2,110
AZ,ITA AIRWAYS,IE,14,10,0,10
AZ,ITA AIRWAYS,IL,75,62,0,62
AZ,ITA AIRWAYS,IN,133,122,2,124
AZ,ITA AIRWAYS,IT,16087,13239,15,13254
AZ,ITA AIRWAYS,JP,2189,1937,1,1938
AZ,ITA AIRWAYS,KR,1313,1169,13,1182
AZ,ITA AIRWAYS,KW,6,5,0,5
AZ,ITA AIRWAYS,KZ,16,16,0,16
AZ,ITA AIRWAYS,MX,145,123,0,123
AZ,ITA AIRWAYS,MY,114,94,1,95
AZ,ITA AIRWAYS,NL,722,643,1,644
AZ,ITA AIRWAYS,NZ,32,30,0,30
AZ,ITA AIRWAYS,OM,5,5,0,5
AZ,ITA AIRWAYS,PE,4,3,0,3
AZ,ITA AIRWAYS,PH,68,55,0,55
AZ,ITA AIRWAYS,PK,21,19,0,19
AZ,ITA AIRWAYS,PL,11,8,0,8
AZ,ITA AIRWAYS,PT,16,12,0,12
AZ,ITA AIRWAYS,QA,7,5,0,5
AZ,ITA AIRWAYS,RU,579,458,0,458
AZ,ITA AIRWAYS,SA,400,277,1,278
AZ,ITA AIRWAYS,SE,3,3,0,3
AZ,ITA AIRWAYS,SG,278,246,1,247
AZ,ITA AIRWAYS,TH,334,293,0,293
AZ,ITA AIRWAYS,TR,129,106,0,106
AZ,ITA AIRWAYS,TW,347,303,0,303
AZ,ITA AIRWAYS,UA,8,8,0,8
AZ,ITA AIRWAYS,US,1677,1406,4,1410
AZ,ITA AIRWAYS,VN,40,38,1,39
BA,BRITISH AIRWAYS,,70,1,0,1
BA,BRITISH AIRWAYS,AE,285,194,1,195
BA,BRITISH AIRWAYS,AR,13,8,0,8
BA,BRITISH AIRWAYS,AT,22,19,0,19
BA,BRITISH AIRWAYS,AU,952,610,3,613
BA,BRITISH AIRWAYS,AZ,4,2,0,2
BA,BRITISH AIRWAYS,BE,63,46,2,48
BA,BRITISH AIRWAYS,BH,6,3,0,3
BA,BRITISH AIRWAYS,BR,312,165,10,175
BA,BRITISH AIRWAYS,BY,4,1,0,1
BA,BRITISH AIRWAYS,CA,474,293,7,300
BA,BRITISH AIRWAYS,CH,69,59,3,62
BA,BRITISH AIRWAYS,CN,163,114,3,117
BA,BRITISH AIRWAYS,CO,10,2,0,2
BA,BRITISH AIRWAYS,CZ,6,4,1,5
BA,BRITISH AIRWAYS,DE,1281,1131,12,1143
BA,BRITISH AIRWAYS,DK,25,20,0,20
BA,BRITISH AIRWAYS,ES,799,672,7,679
BA,BRITISH AIRWAYS,FI,4,2,0,2
BA,BRITISH AIRWAYS,FR,1048,865,15,880
BA,BRITISH AIRWAYS,GB,35707,30596,501,31097
BA,BRITISH AIRWAYS,GR,19,18,0,18
BA,BRITISH AIRWAYS,HK,4601,3613,55,3668
BA,BRITISH AIRWAYS,ID,206,132,0,132
BA,BRITISH AIRWAYS,IE,240,194,2,196
BA,BRITISH AIRWAYS,IL,41,16,0,16
BA,BRITISH AIRWAYS,IN,323,226,0,226
BA,BRITISH AIRWAYS,IT,684,590,5,595
BA,BRITISH AIRWAYS,JP,1661,1277,62,1339
BA,BRITISH AIRWAYS,KR,1279,1131,26,1157
BA,BRITISH AIRWAYS,KW,6,4,1,5
BA,BRITISH AIRWAYS,KZ,13,9,1,10
BA,BRITISH AIRWAYS,MX,121,63,2,65
BA,BRITISH AIRWAYS,MY,836,633,10,643
BA,BRITISH AIRWAYS,NL,604,498,1,499
BA,BRITISH AIRWAYS,NZ,68,46,0,46
BA,BRITISH AIRWAYS,OM,2,1,0,1
BA,BRITISH AIRWAYS,PE,2,2,0,2
BA,BRITISH AIRWAYS,PH,107,72,2,74
BA,BRITISH AIRWAYS,PK,62,35,1,36
BA,BRITISH AIRWAYS,PL,66,54,0,54
BA,BRITISH AIRWAYS,PT,40,28,0,28
BA,BRITISH AIRWAYS,QA,15,7,1,8
BA,BRITISH AIRWAYS,RU,436,331,5,336
BA,BRITISH AIRWAYS,SA,345,233,9,242
BA,BRITISH AIRWAYS,SE,26,22,0,22
BA,BRITISH AIRWAYS,SG,1099,948,2,950
BA,BRITISH AIRWAYS,TH,464,284,5,289
BA,BRITISH AIRWAYS,TR,132,117,0,117
BA,BRITISH AIRWAYS,TW,516,415,4,419
BA,BRITISH AIRWAYS,UA,4,4,0,4
BA,BRITISH AIRWAYS,US,2310,1923,39,1962
BA,BRITISH AIRWAYS,VN,64,46,0,46
BR,EVA AIR,,796,0,0,0
BR,EVA AIR,AE,112,61,0,61
BR,EVA AIR,AR,3,3,0,3
BR,EVA AIR,AT,81,55,0,55
BR,EVA AIR,AU,1188,808,2,810
BR,EVA AIR,AZ,1,0,0,0
BR,EVA AIR,BE,36,20,0,20
BR,EVA AIR,BH,4,2,0,2
BR,EVA AIR,BR,48,17,0,17
BR,EVA AIR,BY,1,0,0,0
BR,EVA AIR,CA,1756,1202,8,1210
BR,EVA AIR,CH,27,18,0,18
BR,EVA AIR,CN,244,148,1,149
BR,EVA AIR,CO,3,2,0,2
BR,EVA AIR,CZ,2,1,0,1
BR,EVA AIR,DE,1314,1162,1,1163
BR,EVA AIR,DK,16,6,0,6
BR,EVA AIR,ES,189,170,0,170
BR,EVA AIR,FI,1,1,0,1
BR,EVA AIR,FR,1934,1777,2,1779
BR,EVA AIR,GB,11953,8556,18,8574
BR,EVA AIR,GR,6,4,0,4
BR,EVA AIR,HK,26442,11108,27,11135
BR,EVA AIR,ID,2818,1843,1,1844
BR,EVA AIR,IE,18,8,0,8
BR,EVA AIR,IL,35,14,0,14
BR,EVA AIR,IN,136,84,0,84
BR,EVA AIR,IT,786,702,0,702
BR,EVA AIR,JP,14733,10022,4,10026
BR,EVA AIR,KR,2858,2443,0,2443
BR,EVA AIR,KW,4,3,0,3
BR,EVA AIR,KZ,4,3,0,3
BR,EVA AIR,MX,32,25,0,25
BR,EVA AIR,MY,2583,1901,3,1904
BR,EVA AIR,NL,1255,1145,0,1145
BR,EVA AIR,NZ,53,13,0,13
BR,EVA AIR,OM,2,1,0,1
BR,EVA AIR,PE,1,1,0,1
BR,EVA AIR,PH,6123,3167,18,3185
BR,EVA AIR,PK,7,3,0,3
BR,EVA AIR,PL,36,18,0,18
BR,EVA AIR,PT,12,8,1,9
BR,EVA AIR,QA,2,1,0,1
BR,EVA AIR,RU,1537,925,1,926
BR,EVA AIR,SA,31,15,0,15
BR,EVA AIR,SE,10,3,0,3
BR,EVA AIR,SG,3651,3302,2,3304
BR,EVA AIR,TH,11466,5076,2,5078
BR,EVA AIR,TR,41,20,0,20
BR,EVA AIR,TW,107278,64357,141,64498
BR,EVA AIR,UA,17,10,0,10
BR,EVA AIR,US,7765,6721,47,6768
BR,EVA AIR,VN,5148,3045,2,3047
CA,AIR CHINA,,155,0,0,0
CA,AIR CHINA,AE,621,379,0,379
CA,AIR CHINA,AR,13,7,0,7
CA,AIR CHINA,AT,180,118,0,118
CA,AIR CHINA,AU,3421,2151,4,2155
CA,AIR CHINA,AZ,13,7,0,7
CA,AIR CHINA,BE,379,242,0,242
CA,AIR CHINA,BH,4,3,0,3
CA,AIR CHINA,BR,510,304,1,305
CA,AIR CHINA,BY,303,194,0,194
CA,AIR CHINA,CA,1160,654,17,671
CA,AIR CHINA,CH,221,128,0,128
CA,AIR CHINA,CN,247,1,0,1
CA,AIR CHINA,CO,29,20,0,20
CA,AIR CHINA,CZ,9,5,0,5
CA,AIR CHINA,DE,6231,4477,9,4486
CA,AIR CHINA,DK,154,85,0,85
CA,AIR CHINA,ES,4514,3182,1,3183
CA,AIR CHINA,FI,14,9,0,9
CA,AIR CHINA,FR,5262,3261,4,3265
CA,AIR CHINA,GB,38988,20442,32,20474
CA,AIR CHINA,GR,59,36,0,36
CA,AIR CHINA,HK,39466,23608,19,23627
CA,AIR CHINA,ID,2866,1997,0,1997
CA,AIR CHINA,IE,157,72,0,72
CA,AIR CHINA,IL,36,14,0,14
CA,AIR CHINA,IN,593,235,0,235
CA,AIR CHINA,IT,3864,2561,0,2561
CA,AIR CHINA,JP,18832,14636,1,14637
CA,AIR CHINA,KR,20369,14689,1,14690
CA,AIR CHINA,KW,13,0,0,0
CA,AIR CHINA,KZ,530,262,0,262
CA,AIR CHINA,MX,169,85,0,85
CA,AIR CHINA,MY,5655,4208,2,4210
CA,AIR CHINA,NL,748,531,0,531
CA,AIR CHINA,NZ,272,124,0,124
CA,AIR CHINA,OM,11,2,0,2
CA,AIR CHINA,PE,6,4,0,4
CA,AIR CHINA,PH,1435,929,0,929
CA,AIR CHINA,PK,223,105,0,105
CA,AIR CHINA,PL,488,307,0,307
CA,AIR CHINA,PT,64,40,1,41
CA,AIR CHINA,QA,24,15,0,15
CA,AIR CHINA,RU,27117,15548,1,15549
CA,AIR CHINA,SA,513,292,0,292
CA,AIR CHINA,SE,214,121,0,121
CA,AIR CHINA,SG,13855,8715,1,8716
CA,AIR CHINA,TH,7275,4586,2,4588
CA,AIR CHINA,TR,621,429,0,429
CA,AIR CHINA,TW,17579,10899,0,10899
CA,AIR CHINA,UA,57,33,0,33
CA,AIR CHINA,US,7551,2902,35,2937
CA,AIR CHINA,VE,1,1,0,1
CA,AIR CHINA,VN,3603,2174,0,2174
CI,CHINA AIRLINES,,101,0,0,0
CI,CHINA AIRLINES,AE,48,21,0,21
CI,CHINA AIRLINES,AR,3,3,0,3
CI,CHINA AIRLINES,AT,35,30,0,30
CI,CHINA AIRLINES,AU,1798,1403,0,1403
CI,CHINA AIRLINES,BE,22,10,0,10
CI,CHINA AIRLINES,BR,23,15,0,15
CI,CHINA AIRLINES,CA,735,418,0,418
CI,CHINA AIRLINES,CH,23,8,0,8
CI,CHINA AIRLINES,CN,197,114,0,114
CI,CHINA AIRLINES,CO,7,3,0,3
CI,CHINA AIRLINES,CZ,2,1,0,1
CI,CHINA AIRLINES,DE,1421,1341,1,1342
CI,CHINA AIRLINES,DK,7,2,0,2
CI,CHINA AIRLINES,ES,161,143,0,143
CI,CHINA AIRLINES,FI,4,1,0,1
CI,CHINA AIRLINES,FR,304,276,0,276
CI,CHINA AIRLINES,GB,7259,4409,1,4410
CI,CHINA AIRLINES,GR,2,2,0,2
CI,CHINA AIRLINES,HK,17916,7419,0,7419
CI,CHINA AIRLINES,ID,3149,2310,0,2310
CI,CHINA AIRLINES,IE,19,13,0,13
CI,CHINA AIRLINES,IL,13,2,0,2
CI,CHINA AIRLINES,IN,53,34,0,34
CI,CHINA AIRLINES,IT,359,339,0,339
CI,CHINA AIRLINES,JP,13126,8880,0,8880
CI,CHINA AIRLINES,KR,3272,2936,0,2936
CI,CHINA AIRLINES,KW,2,1,0,1
CI,CHINA AIRLINES,KZ,4,1,0,1
CI,CHINA AIRLINES,MX,32,14,0,14
CI,CHINA AIRLINES,MY,3557,2109,0,2109
CI,CHINA AIRLINES,NL,616,597,1,598
CI,CHINA AIRLINES,NZ,101,79,0,79
CI,CHINA AIRLINES,PE,1,1,0,1
CI,CHINA AIRLINES,PH,3110,1590,0,1590
CI,CHINA AIRLINES,PK,2,2,0,2
CI,CHINA AIRLINES,PL,21,12,0,12
CI,CHINA AIRLINES,PT,4,1,0,1
CI,CHINA AIRLINES,QA,6,5,0,5
CI,CHINA AIRLINES,RU,1359,905,0,905
CI,CHINA AIRLINES,SA,19,6,0,6
CI,CHINA AIRLINES,SE,8,4,0,4
CI,CHINA AIRLINES,SG,4424,4222,0,4222
CI,CHINA AIRLINES,TH,7195,1959,0,1959
CI,CHINA AIRLINES,TR,29,16,0,16
CI,CHINA AIRLINES,TW,92175,54121,6,54127
CI,CHINA AIRLINES,UA,6,3,0,3
CI,CHINA AIRLINES,US,4855,4571,0,4571
CI,CHINA AIRLINES,VN,5342,2930,0,2930
CX,CATHAY PACIFIC,,234,2,0,2
